name,total_citation,gen_citation,com_citation,copious_citation,self_citation,NGC,NGC(Archana),NCC,NCC(Archana),OC,OC(Archana),institute,domain,hindex,N-H-index(Archana),i10,N- i10(Archana)
A0,243,73,76,56,6,1,0.699588,0.6872,0.687243,0.8683,0.975309,Oregon State University,Ubiquitous Computing,11,0.366666667,11,0.366666667
A1,741,45,410,23,76,1,0.939271,0.4467,0.446694,0.7476,0.897436,University of Toronto,Ubiquitous Computing,21,0.7,21,0.7
A100,223,72,116,31,3,1,0.67713,0.4798,0.479821,1,0.986547,University of New Brunswick,Molecular Information Systems,9,0.3,5,0.166666667
A1000,530,93,272,12,123,1,0.824528,0.4868,0.486792,1,0.767925,"University of California, Riverside",Artificial Intelligence,13,0.433333333,18,0.6
A1001,998,452,6,414,65,1,0.547094,1,0.993988,1,0.93487,University of Georgia ,Computing for Development,16,0.533333333,29,0.966666667
A1002,185,87,80,12,3,1,0.52973,0.5676,0.567568,1,0.983784,Boston University Graduate School,Ubiquitous Computing,8,0.266666667,7,0.233333333
A1003,316,255,57,1,1,0.193,0.193038,1,0.81962,1,0.996835,Aarhus University,Molecular Information Systems,12,0.4,16,0.533333333
A1004,72,6,56,4,0,1,0.916667,0.2222,0.222222,0.9167,1,Massachusetts Institute of Technology,Computational & Synthetic Biology,4,0.133333333,1,0.033333333
A1005,799,672,109,4,1,0.1589,0.158949,1,0.863579,1,0.998748,University of New Brunswick,Data Management and Visualization,24,0.8,27,0.9
A1006,643,104,114,246,110,1,0.838258,1,0.822706,0.8927,0.828927,University of Auckland,Programming Languages and Software Engineering,21,0.7,21,0.7
A1007,483,332,42,26,64,0.3126,0.312629,1,0.913043,1,0.867495,"University of California, Irvine ",Computer Architecture,18,0.6,20,0.666666667
A1008,642,473,151,2,12,0.2632,0.26324,1,0.764798,1,0.981308,"University of California, Berkeley",Artificial Intelligence,12,0.4,15,0.5
A1009,861,525,156,102,75,0.3902,0.390244,1,0.818815,1,0.912892,Rijksuniversiteit Groningen,Ubiquitous Computing,26,0.866666667,28,0.933333333
A101,438,359,73,3,0,0.1804,0.180365,1,0.833333,1,1,Aarhus University,Data Management and Visualization,10,0.333333333,8,0.266666667
A1010,500,327,167,0,5,0.346,0.346,0.666,0.666,1,0.99,University of Washington,Programming Languages and Software Engineering,19,0.633333333,20,0.666666667
A1011,259,246,6,2,2,0.0502,0.050193,1,0.976834,1,0.992278,"University of California, Los Angeles",Wireless and Sensor Systems,9,0.3,8,0.266666667
A1012,659,162,406,81,4,1,0.754173,0.3839,0.383915,1,0.99393,Aarhus University,Systems and Networking,13,0.433333333,21,0.7
